icmp_seq,time,mean_period5,mean_period10,mean_period20,StdDev_period5,StdDev_period10,StdDev_period20
94,56.0,61.94,62.3,68.195,8.69959769185,8.35144698041,18.8038203005
95,59.2,59.84,62.67,68.475,7.54937083471,8.09472393325,18.615807516
96,55.7,59.54,62.34,68.385,7.70863152576,8.32495578901,18.6759139845
97,64.3,57.82,63.04,68.83,4.09475273979,8.14646480928,18.4549551184
98,163,79.64,72.97,73.375,46.7278610681,32.6646274874,28.0181120931
99,69.1,82.26,72.1,73.28,45.4199625715,32.6375380335,28.0298074425
100,61.2,82.66,71.25,72.81,45.1742515157,32.817178767,28.1556369975
101,54.6,82.44,70.99,72.13,45.340743267,32.9508876967,28.4356725555
102,59.4,81.46,69.64,70.05,45.8805841288,33.1399456849,27.7253541575
103,57.8,60.42,70.03,66.34,5.42512672663,32.956572435,23.6667521619
104,62.6,59.12,70.69,66.495,3.10998392279,32.7095449882,23.6297198014
105,65.4,59.96,71.31,66.99,4.19141980718,32.5258000158,23.490555773
106,58.9,60.82,71.63,66.985,3.12121771109,32.3705301505,23.4923565397
107,57.4,60.42,70.94,66.99,3.45861243854,32.616737353,23.4901972836
108,52.8,59.42,59.92,66.445,4.84891740495,4.87938976148,23.6960906169
109,56.4,58.18,58.65,65.375,4.61974025244,3.74558999951,23.6394602085
110,62.3,57.56,58.76,65.005,3.47462228163,3.84366723036,23.6261112242
111,53.9,56.56,58.69,64.84,3.70445677529,3.93317796303,23.6949117345
112,56.7,56.42,58.42,64.03,3.67790701351,3.9715096486,23.6817740267
113,93.8,64.62,62.02,66.025,16.5987047687,11.8495944609,24.4516036499
114,55.8,64.5,61.34,66.015,16.6749812594,12.0066833241,24.4559598807
115,54.4,62.92,60.24,65.775,17.2981790949,12.0969417623,24.549732017
116,73.4,66.82,61.69,66.66,16.9508701842,12.7688379355,24.4863742991
117,61.8,67.84,62.13,66.535,16.3318094527,12.680084998,24.505429581
118,59.1,60.9,62.76,61.34,7.55910047559,12.3163125795,9.2333149661
119,64.5,62.64,63.57,61.11,7.07764084989,12.1162929791,9.08595793403
120,62.5,64.26,63.59,61.175,5.46287470111,12.1141285742,9.09128414298
121,53.5,60.28,63.55,61.12,4.25464452099,12.1502857762,9.13637034921
122,64.3,60.78,64.31,61.365,4.609989154,11.9095153367,9.15350234955
123,56.1,60.18,60.54,61.28,5.0568765063,6.07493941442,9.19614335641
125,56.0,58.48,60.56,60.95,4.65424537385,6.05790576208,9.26444817569
126,66.7,59.32,61.79,61.015,5.79931030382,5.91522517652,9.30179807179
127,57.3,60.08,60.18,60.935,5.04598850573,4.40146440277,9.3277895503
128,108,68.82,64.8,63.465,22.3518903004,15.7939510221,14.0070386442
129,64.1,70.42,65.3,64.03,21.4831794667,15.6721267081,13.7802719399
130,61.2,71.46,64.97,64.27,20.7230065386,15.7254959293,13.6818396732
131,221,102.32,80.82,72.205,69.4543519155,51.696395748,37.597444972
132,75.8,106.02,83.05,73.3,66.9023317979,50.8611890891,37.3543909911
133,56.4,95.7,82.26,73.285,70.4084511973,51.2446896978,37.3614672737
134,67.7,96.42,83.42,71.98,70.0218680128,50.7152793106,37.0618061309
135,60.7,96.32,83.89,72.225,70.0850697367,50.4540373894,36.9652877711
136,59.1,63.94,83.13,72.46,7.83536852994,50.79781382,36.8607964617
137,57.8,60.34,83.18,71.68,4.41055552057,50.7698029235,37.0046312891
138,65.4,62.14,78.92,71.86,4.23355642457,50.2402848541,36.9627750154
139,66.9,61.98,79.2,72.25,3.97831622675,50.1562447646,36.8620686514
140,57.9,61.42,78.87,71.92,4.3802967936,50.2984879384,36.9645007513
141,55.2,60.64,62.29,71.555,5.17233022921,6.49622967574,37.0982121147
142,54.0,59.88,60.11,71.58,5.91920602784,4.92712447129,37.0855710344
143,69.8,60.76,61.45,71.855,7.1451382072,5.5843531407,37.0491206657
144,58.1,59.0,60.49,71.955,6.2868911236,5.20265957628,37.0070331153
145,56.5,58.72,60.07,71.98,6.37863621788,5.35123038811,36.9958546753
146,60.4,59.76,60.2,71.665,6.07807535327,5.3408280673,37.0699236153
147,85.9,66.14,63.01,73.095,12.1898728459,9.61762849032,37.0382373543
148,54.3,63.04,61.9,70.41,12.9722010469,9.94607683685,36.3140526663
149,58.2,63.06,61.03,70.115,12.9627543369,9.84005984625,36.3918914479
150,61.4,64.04,61.38,70.125,12.5205031848,9.77841159562,36.3893401829
151,55.4,63.04,61.4,61.845,13.0714574551,9.76456177545,8.08471429694
152,74.1,60.68,63.41,61.76,7.98980600515,10.1338212602,7.93787721855
153,61.9,62.2,62.62,62.035,7.15157325349,9.88520780426,7.83704260816
154,56.5,61.86,62.46,61.475,7.42448651423,9.97900017258,7.81104986542
155,56.3,60.84,62.44,61.255,7.8420660543,9.99246382697,7.89553338087
156,57.6,61.28,62.16,61.18,7.51545075162,10.0946850702,7.92415361577
157,58.9,58.24,59.46,61.235,2.29303292606,5.68881944402,7.9032488323
158,76.1,61.08,61.64,61.77,8.46002364063,7.40873358499,8.53679959753
159,75.6,64.9,63.38,62.205,10.0396713094,8.47726370948,9.01994719322
160,63.8,66.4,63.62,62.5,8.93280471073,8.44890525453,8.96807202187
161,57.9,66.46,63.87,62.635,8.85962753167,8.21232813113,8.872208234
162,57.6,66.2,62.22,62.815,9.1512294256,7.56024690955,8.72306531106
163,64.2,63.82,62.45,62.535,7.29122760583,7.58437721753,8.57568625457
164,55.6,59.82,62.36,62.41,3.91943873533,7.66771007393,8.6615241153
165,56.4,58.34,62.37,62.405,3.40411515669,7.65898890919,8.66514342214
166,67.8,60.32,63.39,62.775,5.38627886393,7.63230706347,8.73274991355
167,65.2,61.84,64.02,61.74,5.49799963623,7.47897794562,6.87730057202
168,57.7,60.54,62.18,61.91,5.56848273769,6.35588965711,6.72402604961
169,56.7,60.76,60.29,61.835,5.34162896503,4.44458472001,6.77575204604
170,66.6,62.8,60.57,62.095,5.2062462485,4.76679487007,6.85745656394
171,57.7,60.78,60.55,62.21,4.71773250619,4.77964433823,6.75783366098
172,60.7,59.88,60.86,61.54,4.04499690976,4.66623807556,6.1542796406
173,54.6,59.26,59.9,61.175,4.65435280141,4.8851248136,6.34531530468
174,59.9,59.9,60.33,61.345,4.42888247756,4.64807008935,6.25842379686
175,76.6,61.9,62.35,62.36,8.55073096291,6.69083120563,6.9994285481
176,64.5,63.26,62.02,62.705,8.2512423307,6.46989610083,6.92208327327
177,60.1,63.14,61.51,62.765,8.30198771379,6.39191329381,6.89250355554
178,52.9,62.8,61.03,61.605,8.76127844552,6.8720124822,6.46939963049
179,52.5,61.32,60.61,60.45,9.92179419258,7.28216237727,5.87398367469
180,59.1,57.82,59.86,60.215,5.0982349887,6.97650023691,5.82673285723
181,69.5,58.82,61.04,60.795,6.90593947266,7.54530022965,6.15240432249
182,55.5,57.9,60.52,60.69,6.99857128277,7.74780255585,6.22726602172
183,63.4,60.0,61.4,60.65,6.69178600973,7.49636949166,6.20606664143
184,74.2,64.34,62.83,61.58,7.58834632842,8.47808285457,6.77686466862
185,65.8,65.68,61.75,62.05,7.00049998214,7.10590521249,6.7244643692
186,57.1,63.2,61.01,61.515,7.48832424512,7.17270288432,6.66832852094
187,70.5,66.2,62.05,61.78,6.58217289351,7.75632358502,6.92292910324
188,57.4,65.0,62.5,61.765,7.67626211121,7.28255144545,6.93255288286
189,56.0,61.36,62.85,61.73,6.43840042247,6.81782793694,6.96117806122
190,58.1,59.82,62.75,61.305,6.01805616458,6.88593574695,6.90746926008
191,60.0,60.4,61.8,61.42,5.82709189905,6.4954685059,6.86329673738
192,67.4,59.78,62.99,61.755,4.4968878127,6.30016754627,6.98867316674
193,57.1,59.72,62.36,61.88,4.53839178564,6.56407732367,6.87540238057
194,54.8,59.48,60.42,61.625,4.80801414307,5.44789459843,7.04518312488
195,58.5,59.56,59.69,60.72,4.78257252951,5.12649978055,6.12240062996
196,63.8,60.32,60.36,60.685,5.15722793756,5.18784905117,6.10161971594
197,74.6,61.76,60.77,61.41,7.90272105037,6.15088972787,6.84465984699
198,59.1,62.16,60.94,61.72,7.65460645625,6.07036517298,6.57399982387
199,58.3,62.86,61.17,62.01,6.9399567722,5.90368058455,6.26661160857
200,55.5,62.26,60.91,61.83,7.51684774357,6.10763638589,6.40477617835
201,58.2,61.14,60.73,61.265,7.64611012215,6.16370199006,6.1872768434
202,67.7,59.76,60.76,61.875,4.64198233517,6.2003942527,6.19038941042
203,113,70.54,66.35,64.355,24.1827004282,17.4774298899,13.0111885051
204,56.1,70.1,66.48,63.45,24.4792769501,17.3865720856,12.9195282625
205,56.2,70.24,66.25,62.97,24.376689685,17.518577441,13.0056708279
206,55.1,69.62,65.38,62.87,24.7953019744,17.8663432807,13.0607527791
207,60.0,68.08,63.92,62.345,25.1804884782,17.6240870528,12.9484595711
208,60.0,57.48,64.01,62.475,2.34029912618,17.5990182807,12.9091919516
209,59.5,58.16,64.13,62.65,2.33302378899,17.5598057443,12.8403352965
210,58.0,58.52,64.38,62.645,2.08014422577,17.4406804149,12.8422196393
211,60.3,59.56,64.59,62.66,0.918150314491,17.3705018158,12.8391424537
212,56.7,58.9,63.49,62.125,1.51492574075,17.4994888814,12.8541566081
213,61.4,59.18,58.33,62.34,1.8593009439,2.18482137587,12.8015377366
214,61.3,59.54,58.85,62.665,2.09594847265,2.21371984577,12.6819919986
215,57.9,59.52,59.02,62.635,2.11471038206,2.04656894446,12.6930679382
216,72.4,61.94,60.75,63.065,6.2026607194,4.36431234242,12.8789209666
217,68.5,64.3,61.6,62.76,5.95021008032,4.98553463086,12.66177006
218,57.8,63.58,61.38,62.695,6.57396379668,5.11094685726,12.6848635451
219,54.4,62.2,60.87,62.5,7.78492132266,5.55458769347,12.7855592883
220,57.9,62.2,60.86,62.62,7.78492132266,5.56041565193,12.7275333534
221,56.9,59.1,60.52,62.555,5.44104769323,5.70064323856,12.7545853468
222,56.8,56.76,60.53,62.01,1.41173651933,5.69328063988,12.7560470696
223,55.8,56.36,59.97,59.15,1.32400906341,5.87084131771,4.39263738065
225,66.1,58.7,60.45,59.65,4.20297513673,6.17976087276,4.59181193453
226,75.6,62.24,62.22,60.62,8.55821243017,7.71287523849,5.73214389947
227,61.1,63.08,61.09,60.92,8.09672773409,6.83332520325,5.58311363799
228,57.4,63.2,59.98,60.79,7.98404659305,6.38258046039,5.63568517293
229,58.2,63.68,60.02,60.7,7.48445054764,6.36863843812,5.66327039607
230,55.8,61.62,60.16,60.515,8.0481053671,6.24556731699,5.76406974281
231,83.3,63.16,62.7,61.78,11.4216023394,9.5271541746,7.65056585455
