comp_code,stock_code
1076,USHAMART
1079,AGCNET
1082,CLASSIC
1083,SAMTEL
1093,ABAN
1095,EIHAHOTELS
1097,KOKUYOCMLN
1102,HITECHGEAR
1105,INDIAGLYCO
1106,PAPERPROD
1119,PENIND
1121,SUBROS
1127,JISLJALEQS
1128,GUJFLUORO
1129,KAJARIACER
1131,HONAUT
1140,SARDAEN
1147,ESABINDIA
1149,JAMNAAUTO
1150,JAYBARMARU
1165,MONSANTO
1167,VALUEIND
1180,SHRENUJ
1186,NAHARINDUS
1189,HFCL
1190,OILCOUNTUB
1196,JYOTISTRUC
1208,EUROTEXIND
1210,MODERNWOOL
1214,BEPL
1215,PEARLPOLY
1216,CHEMFALKAL
1220,INDORAMA
1223,CANFINHOME
1224,VINYLINDIA
1225,DHARSUGAR
1227,KABRAEXTRU
1250,VENKEYS
1252,FINPIPE
1254,ALBERTDAVD
1255,AMTEKAUTO
1258,SHIVTEX
1259,ANSALHSG
1287,HINDSYNTEX
1291,JINDRILL
1305,LLOYDFIN
1310,MODRNSYNTX
1313,MOSERBAER
1318,OMAXAUTO
1320,PATELENG
1321,POLARIND
1322,PTL
1338,SSWL
1344,SWARAJENG
1358,WEIZMANIND
1369,MANINDS
1375,SBIN
1389,AUTOLITIND
1393,ORGINFO
1394,SHREYANIND
1419,ICDSLTD
1436,RAJSREESUG
1437,RUBYMILLS
1467,ADVANIHOTR
1470,HIRECT
1474,UFLEX
1514,UCALFUEL
1520,SPICEMOBI
1524,VADILALIND
1538,ANANTRAJ
1559,HARITASEAT
1572,JAICORPLTD
1590,GEODESIC
1610,SICAL
1623,SUJANAUNI
1627,NAVNETEDUL
1693,GOODVALUE
1706,SUPERHOUSE
1710,IVC
1725,HINDOILEXP
1729,PAEL
1736,SUMANMOTEL
1741,CENTEXT
1742,GODREJIND
1745,SRTRANSFIN
1765,TTL
1774,DHANUKA
1781,KECL
1783,SUPERFORGE
1792,MANALIPETC
1809,ASIANELEC
1813,GRPLTD
1814,DHFL
1840,AVTNPL
1846,GINNIFILA
1861,KAKATCEM
1866,RELCAPITAL
1878,THIRUSUGAR
1889,SALZERELEC
1896,STERLINBIO
1903,PRECOT
1905,SUPERSPIN
1907,INDNIPPON
1908,PRICOL
1909,ROLTA
1926,RAMCOIND
1927,LGBBROSLTD
1938,MOTOGENFIN
1941,UNITEDTEA
1945,IMPAL
1952,SURYALAXMI
1957,RUCHINFRA
1960,ICIL
1967,GLFL
1971,SPANCO
1973,IOLCP
1975,HERCULES
1988,DENORA
2004,ARSHIYA
2006,AYMSYNTEX
2035,APARINDS
2036,ORIENTBELL
2039,DONEAR
2053,NOVAELEMAG
2060,MAHAPEXLTD
2061,NILKAMAL
2074,NAHARPOLY
2075,TECILCHEM
2086,SEQUENT
2096,3MINDIA
2100,JCHAC
2105,HBSTOCK
2110,AMARAJABAT
2113,JMFINANCIL
2117,SWANENERGY
2129,TNTELE
2141,EMCO
2146,ATFL
2153,RADICO
2163,CHOLAFIN
2165,STARPAPER
2168,S&SPOWER
2171,JAGSNPHARM
2174,NEPCMICON
2191,MAHSEAMLES
2195,RIIL
2198,MARALOVER
2202,IGPL
2208,BALRAMCHIN
2216,HIGHGROUND
2226,TIMKEN
2227,WELSPUNIND
2247,VINATIORGA
2259,ANDHRSUGAR
2278,GANECOS
2285,GUFICBIO
2290,BPCL
2292,MMTC
2293,MTNL
2294,BEML
2295,TATACOMM
2297,RCF
2298,BEL
2299,SAIL
2300,STCINDIA
2301,FACT
2302,HOCL
2303,NLCINDIA
2304,NATIONALUM
2305,HINDPETRO
2306,BHEL
2307,HINDZINC
2322,TATAELXSI
2323,HMT
2329,BHAGYNAGAR
2330,KOTAKBANK
2334,ITI
2335,DREDGECORP
2337,DCMSHRIRAM
2338,MAWANASUG
2339,CHENNPETRO
2347,SCI
2356,METALFORGE
2362,AUTORIDFIN
2370,RAINBOWPAP
2371,GENESYS
2378,AARTIIND
2381,IFGLREFRAC
2385,BINANIIND
2386,AUSOMENT
2393,WANBURY
2395,GRANDFONRY
2396,SURYAJYOTI
2400,PRECWIRE
2401,HBLPOWER
2404,AJMERA
2410,ARCOTECH
2412,KHAITANLTD
2415,GILLANDERS
2416,ADFFOODS
2437,NEPCAGRO
2439,GTL
2447,EASUNREYRL
2461,UPL
2467,FEL
2469,GAEL
2496,MRPL
2521,MADHAV
2531,VSTTILLERS
2547,KINGFA
2555,PARRYSUGAR
2576,NDGL
2598,NCC
2603,NAKODA
2626,DHAMPURSUG
2631,KDDL
2638,PLASTIBLEN
2642,GRUH
2650,PIIND
2671,IITL
2685,MOREPENLAB
2705,SUMEETINDS
2706,APCOTEXIND
2712,PHOENIXLL
2717,KOPRAN
2718,GIPCL
2720,LAKSHVILAS
2722,KARURVYSYA
2732,MASTEK
2747,EIMCOELECO
2765,VIJSHAN
2769,ASHIANA
2771,NIITLTD
2773,RAMGOPOLY
2777,BHARATRAS
2779,CONSOFINVT
2780,HSCL
2787,SREINFRA
2794,EASTSILK
2796,GTNIND
2805,MIRCELECTR
2806,INFY
2817,PILITA
2820,ANSALAPI
2825,ITIL
2831,SANGAMIND
2838,MAZDA
2846,TIDEWATER
2848,VLSFINANCE
2852,VICEROY
2879,INDBIOFOOD
2893,GUJRAFFIA
2896,MENONBE
2897,SIMPLEXINF
2900,VARDMNPOLY
2912,CMICABLES
2915,JAYAGROGN
2955,DSKULKARNI
2966,MOTHERSUMI
2970,TRIDENT
2975,AARTIDRUGS
2986,TATAMETALI
2987,MODERNMAL
2990,BANSWRAS
2996,SOMATEX
2997,SHAHALLOYS
3007,SALORAINTL
3010,KEMROCK
3019,TCIFINANCE
3021,CUBEXTUB
3026,LUPIN
3029,CHAMBLFERT
3041,MONNETISPA
3046,NAMASTEXP
3049,SHLAKSHMI
3058,ASHIMASYN
3088,SMPL
3099,SATHAISPAT
3100,AARVEEDEN
3111,ASHAPURMIN
3118,ALOKTEXT
3124,RATNAMANI
3126,ZEEL
3129,ATCOM
3135,ORCHIDPHAR
3139,JVLAGRO
3140,BODALCHEM
3148,IFCI
3169,BHUSANSTL
3173,SANWARIA
3175,ASIL
3179,BIRLACABLE
3187,SKUMARSYNF
3188,PIONEEREMB
3196,VESUVIUS
3210,MINDTECK
3219,PIDILITIND
3225,DIAPOWER
3226,KSOILS
3231,VIMTALABS
3240,GMBREW
3243,SPENTEX
3250,HITECHPLAS
3264,FILATEX
3265,CRISIL
3266,VIDEOIND
3270,AGRODUTCH
3272,HAVELLS
3282,MOLDTECH
3284,BIOFILCHEM
3285,MARKSANS
3304,MERCATOR
3313,SVOGL
3315,PREMEXPLN
3317,FOSECOIND
3319,CONTROLPR
3325,PATSPINLTD
3335,KNDENGTECH
3348,SPMLINFRA
3349,ORIENTLTD
3356,RANASUG
3361,MPHASIS
3382,EMTEXIND
3388,TI
3392,DABUR
3420,CREST
3446,GANESHHOUC
3450,IGARASHI
3453,NAGREEKEXP
3458,PRAJIND
3464,KALYANIFRG
3465,SYMPHONY
3469,ZENITHEXPO
3487,MURLIIND
3497,PITTILAM
3505,WINSOME
3526,PATINTLOG
3528,ATNINTER
3537,KOHINOOR
3538,PREMIERPOL
3546,VAKRANGEE
3559,ALPHAGEO
3598,SPLIL
3608,SUPPETRO
3609,MAHASTEEL
3613,GUJAPOLLO
3616,TORNTPHARM
3617,IPCALAB
3624,ASAL
3630,KILITCH
3673,SHYAMTEL
3697,KREBSBIO
3704,ANIKINDS
3708,INDBANK
3709,FEDERALBNK
3715,KRISNAFILA
3720,BPL
3722,BAJFINANCE
3750,VALECHAENG
3780,NBVENTURES
3782,VIMALOIL
3800,NEULANDLAB
3809,ARROWGREEN
3812,DYNAPHARMA
3825,MMFL
3826,PODDARMENT
3828,NARMADASUG
3840,CDRMEDICAL
3852,AVANTIFEED
3885,SRIPIPES
3888,RSSOFTWARE
3896,GUJNRECOKE
3897,SURANAIND
3898,HINDCOPPER
3899,BUTTERFLY
3924,SANGHIIND
3929,INDOXYGEN
3930,ZODIACLOTH
3954,MAYURUNIQ
3977,VISHNU
3985,CCHHL
3993,PEPL
3996,ZODJRDMKJ
4018,SRGINFOTEC
4019,FEDDERLOYD
4031,GANGOTRI
4042,PRIMESECU
4050,TECHIN
4093,HINDUJAVEN
4101,UMANGDAIRY
4123,INDSWFTLTD
4138,KEYCORPSER
4141,PDUMJEIND
4144,NKIND
4149,SOTL
4150,TPLPLASTEH
4154,LIBERTSHOE
4157,TIMESGTY
4159,TOKYOPLAST
4162,JINDALPOLY
4164,HESTERBIO
4169,ELECTHERM
4177,BLUEDART
4196,KRISHNAENG
4230,NEPCTEX
4231,KALINDEE
4244,ADANIENT
4248,LICHSGFIN
4257,SDBL
4259,NORBTEAEXP
4261,DOLPHINOFF
4269,MIRZAINT
4275,PDPL
4301,TTKPRESTIG
4317,TFCILTD
4318,ORIENTBANK
4320,WEBELSOLAR
4325,SUNPHARMA
4335,LLOYDELENG
4338,JMTAUTOLTD
4353,JMCPROJECT
4354,KAMATHOTEL
4368,DALALSTCOM
4374,RAMANEWS
4378,DCMFINSERV
4387,HOTELRUGBY
4389,MAFATLAFIN
4395,ARENTERP
4401,HIKAL
4406,JIKIND
4416,SURANAT&P
4418,BIL
4439,HERITGFOOD
4441,SHREYAS
4446,DAMODARIND
4452,PRUDMOULI
4464,CAPLIPOINT
4469,ONWARDTEC
4472,ASTRAMICRO
4476,SAMBHAAV
4488,CENTUM
4496,NIVINFRA
4498,ANTGRAPHIC
4502,ALCHEM
4506,JAYNECOIND
4518,KALPATPOWR
4524,ORBTEXP
4537,SANDESH
4545,GOLDIAM
4552,PVP
4580,GICHSGFIN
4584,TRIGYN
4593,ASHCONIUL
4620,INDLMETER
4621,KITEX
4640,HINDNATGLS
4662,VIPULLTD
4664,PARASPETRO
4666,AUROPHARMA
4674,CRESTANI
4675,EASTSUGIND
4679,KEI
4684,NATCOPHARM
4699,PANAMAPET
4701,GREENPLY
4702,PSL
4704,BALPHARMA
4719,AROGRANITE
4724,MUTHOOTCAP
4727,PRISMCEM
4734,BANARBEADS
4756,FINANTECH
4760,SEAMECLTD
4761,SARLAPOLY
4764,JSWSTEEL
4767,THERMAX
4770,21STCENMGM
4791,VENUSREM
4819,RAIREKMOH
4820,SANGHVIMOV
4822,SELAN
4846,ADI
4879,CHROMATIC
