#|Source|Pair|Volume (24h)|Price|Volume (%)|Updated
380|YoBit|BTC/USD|$144,194|$4402.00|0.01%|Recently
381|Novaexchange|BDL/BTC|$143,307|$4200.35|0.01%|Recently
382|Bittrex|IOC/BTC|$142,734|$4321.59|0.01%|Recently
383|YoBit|DASH/BTC|$139,475|$4326.62|0.01%|Recently
384|C-CEX|APW/BTC|$139,403|$4320.96|0.01%|Recently
385|BitMEX|BTC/USD|** $295,262,000|$4289.20|0.00%|Recently
386|Coincheck|BTC/JPY|** $96,589,400|$4298.63|0.00%|Recently
387|Zaif|BTC/JPY|** $36,383,200|$4301.83|0.00%|Recently
388|BTC100|BTC/CNY|** $24,055,400|$2405.54|0.00%|Recently
389|Quoine|BTC/JPY|** $23,184,900|$4300.41|0.00%|Recently
390|BTCBOX|BTC/JPY|** $9,608,590|$4303.37|0.00%|Recently
391|Quoine|BTC/USD|** $4,392,000|$4305.67|0.00%|Recently
392|Bit-Z|GXS/BTC|** $2,874,780|$4316.27|0.00%|Recently
393|Quoine|BTC/AUD|** $2,226,430|$4314.57|0.00%|Recently
394|Quoine|BTC/EUR|** $2,205,810|$4309.95|0.00%|Recently
395|Quoine|BTC/SGD|** $1,865,170|$4312.76|0.00%|Recently
396|Quoine|BTC/PHP|** $975,337|$4321.47|0.00%|Recently
397|Quoine|BTC/IDR|** $725,636|$4318.86|0.00%|Recently
398|Quoine|BTC/HKD|** $430,850|$4324.10|0.00%|Recently
399|Tidex|INPAY/BTC|** $337,854|$4219.44|0.00%|Recently
400|Zaif|XEM/BTC|** $167,696|$4487.80|0.00%|Recently

